model,uuid,thinking_budget,prompt_tokens,reasoning_trace,reasoning_tokens,raw_model_answer,total_tokens
gemini-3-flash-preview,e2470402-2777-4ae7-88ec-6f7c8c84d0b5::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,be631ef3-d37d-403b-a998-c8f717b27992::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,f8720a5c-e326-41d0-b7e1-fb7d7392b34b::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,8269aca8-0193-4f2c-bede-eb629ab80169::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,e23510b3-495a-4a91-979c-a63fab5f0155::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,5127245f-5188-486d-8aee-b80fdffa07fe::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,7359a8de-2e8b-4395-b44e-e7542224d314::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,257a734b-f26e-4e85-a913-0badeda1c41b::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,12b97712-1f1d-4029-a220-4e1a1c28e374::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,77473f6a-20b4-4899-accf-8c07b6099389::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,50817555-da4a-4233-bcd9-fc099ec5eb43::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,9f3dc111-9989-4536-8d8d-282bf3d3b95e::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,632e02fe-ec4b-4748-9113-2b5860846d55::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,a2b3fd81-494a-402b-9799-5ea597803ad4::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,bb3eadc9-dadc-4b47-8742-ba671c2369a4::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,bf83237b-a701-4c98-989a-77a727a82ba7::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,16d83fd9-85a0-4080-a5a5-2203ca71afc9::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,ab7d1899-dad7-4527-9f6d-8d231b393dd0::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,d612ceda-613a-4485-a284-d90a18dd90ec::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,a883a090-6317-424e-aedd-2c00721eca52::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,62694a86-c53d-4cee-bd40-56f18b03036b::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,13ebc5cd-272b-45fb-af13-79ba9df17c8e::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,00edf9bf-26ec-440c-aeba-9ee571d2fe61::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,54ab77b6-ac74-49f1-8d94-e7e4f22a563f::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,510e0c1b-9d95-4dd9-b5d6-dc3916af3a79::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,c61a0174-3751-47ba-a76e-f2ce37128d62::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,2f657dd9-e020-4dd8-9049-07c3f92f2769::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,99a46a16-766e-4de4-bbd5-4c790d33ba5d::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,e688a3ff-be41-4a4a-899c-f6ff1812f727::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,dcd7bdcd-f767-4726-8d83-144b40e98b94::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,db3fb69e-fada-4f98-aab0-8a9aceac4e67::gemini-3-flash-preview::high,0,0,,0,,0
gemini-3-flash-preview,652bca95-fd1e-4eeb-82e2-e0b5ebf84e4f::gemini-3-flash-preview::high,0,0,,0,,0
