model,uuid,question_category,sub_category,ChemIQ,success,expected_answer,model_answer,opsin_smiles,completion_tokens,reasoning_tokens
o3-mini-high,cbfe1b13-aadb-40e4-838d-388c8878e3ee,counting_carbon,,True,True,3,3,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,1549.0,1536.0
o3-mini-high,aa5dfac0-35ed-40c5-a410-d06137f8ebc2,counting_carbon,,True,True,3,3,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,7117.0,7104.0
o3-mini-high,3bbd5b40-755a-4bc4-9939-7914e7f7a863,counting_carbon,,True,True,4,4,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,3661.0,3648.0
o3-mini-high,8dacd234-3f02-4a31-ba36-af6df1d37236,counting_carbon,,True,False,4,3,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,5452.0,5440.0
o3-mini-high,04542126-dd33-4178-9b5b-145d18d400c5,counting_carbon,,True,True,5,5,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,3277.0,3264.0
o3-mini-high,b4271510-114b-4df0-bf3e-8b1816fb1758,counting_carbon,,True,True,5,5,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,7309.0,7296.0
o3-mini-high,3b031554-f22a-4429-a3ec-fa8d87095af2,counting_carbon,,True,True,6,6,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,4045.0,4032.0
o3-mini-high,d82ac4af-cef7-4de5-a1fc-e74fc74c3bc2,counting_carbon,,True,True,6,6,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,8205.0,8192.0
o3-mini-high,d6fcb801-da1e-4bc9-9485-f995e48b24e2,counting_carbon,,True,True,7,7,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,7629.0,7616.0
o3-mini-high,857f2284-0d5f-4539-8efd-0c8a3427a14d,counting_carbon,,True,True,7,7,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,5965.0,5952.0
o3-mini-high,b3b89e21-7c6f-4a1a-a012-34848480bea6,counting_carbon,,True,True,8,8,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,11085.0,11072.0
o3-mini-high,99741479-b3ce-40dc-8d2e-4096d974c0e8,counting_carbon,,True,True,8,8,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,4173.0,4160.0
o3-mini-high,ebc0377e-13b3-4a4f-a554-128eeb44279e,counting_carbon,,True,True,9,9,BrC1=NC=2N(C(N(C(C2N1CC(COC1=C(C=C(C=C1)Cl)Cl)O)=O)C)=O)C,4045.0,4032.0
