model,uuid,thinking_budget,prompt_tokens,reasoning_trace,reasoning_tokens,raw_model_answer,total_tokens
gpt-4o-2024-11-20,a10bfd10-bc3c-4c0d-91bb-d2fa3007bd00,0,57,,0,3-(4-Fluoro-3-(formyl)-5-(2-methylbutan-2-yl)anilino)-4-methoxy-5-methylbenzoic acid,98
gpt-4o-2024-11-20,c8a1a8c8-565d-49f1-86bb-31c8455f53de,0,60,,0,4-(2-Cyclohexylpropan-2-yl)-2-iodo-5-(prop-2-en-1-yl)-3-methoxybenzonitrile,100
gpt-4o-2024-11-20,b618c527-5baf-4860-b1b2-e437fac71b0d,0,67,,0,"2-bromo-N-(2,4-dimethyl-5-(prop-2-en-1-yl)-3-(prop-2-yn-1-yl)phenyl)sulfonylacetamide",111
gpt-4o-2024-11-20,2241b995-168e-4180-9d5c-88b5161941b3,0,71,,0,5-(butan-2-yl)-N'-cyano-N-(1-cyclohexyl-2-oxo-2-sulfanylideneethyl)-2-sulfonamidobenzenecarboximidamide,118
gpt-4o-2024-11-20,04a96072-0927-4cb2-a565-144c4029fb06,0,69,,0,5-[(2-Chloro-4-(2-methylpropyl)-3-phenylanilino)carbonyl]-4-methylpentanoic acid,103
gpt-4o-2024-11-20,1716a9a1-112a-4b18-853b-e5676c1c51ec,0,60,,0,Methyl 3-bromo-5-cyano-2-(2-methylbutan-2-yl)-4-(methylthio)benzoate,95
gpt-4o-2024-11-20,65ec660d-1c02-4c89-a3b6-b4267cf0dba4,0,54,,0,5-bromo-2-ethyl-4-(prop-2-yn-1-yl)-3-(butylamino)-6-methylbenzene-1-carbaldehyde,93
gpt-4o-2024-11-20,318a58c8-0623-4a28-be87-542bd027d343,0,70,,0,4-chloro-N-[2-ethynyl-4-(propan-2-yl)-6-phenylphenyl]-3-methylbutanamide sulfonamide,108
gpt-4o-2024-11-20,21e95f50-b933-40c2-afde-e65018b6cd08,0,76,,0,"2-(4-(Trifluoromethyl)-2-(methylcarbamoyl)-5-(methylamino)-phenoxy)-1-methylsulfonyl-1,3-dioxo-2,3-dihydro-1H-imidazo[4,5-b]quinolone",142
gpt-4o-2024-11-20,5b68d89c-7c8c-4195-b83f-fd61bdbfcf17,0,69,,0,"2-(3-Bromo-4-(2-(methylcarbamoyl)propan-2-yl)-5-methyl-2-oxo-2,3-dihydrothiophen-3-yl)acetamide",117
gpt-4o-2024-11-20,05b7ab76-e45e-4723-892b-77d91b131aea,0,67,,0,3-(3-tert-Butyl-4-cyano-5-isopropylphenylsulfanyl)-5-pentylcyclohex-2-enone,104
gpt-4o-2024-11-20,a6905d5c-a518-4571-8425-1a6f7fac3c5d,0,54,,0,6-bromo-2-ethenyl-3-ethynyl-5-fluoro-4-(prop-2-yn-1-yl)benzonitrile,92
gpt-4o-2024-11-20,19a941df-1eaa-462e-8eaf-3c055800ede0,0,74,,0,Methyl 2-[(2-amino-5-carbamoyl-4-(dimethylamino)-3-hexylphenyl)carbamoyl]but-2-ynoate,116
gpt-4o-2024-11-20,15e9ac70-c714-4565-af87-5b6b66530001,0,61,,0,"2-methyl-N-(3,5-dimethyl-4-(2-methylpropyl)phenyl)-2,3-diazabicyclo[2.2.1]heptane-4-sulfonamide",110
gpt-4o-2024-11-20,8e56ca41-94f3-40bb-bbb3-41a19e824d4b,0,65,,0,4-amino-5-fluoro-2-(sulfonyloxy)-3-nitro-6-(sulfinyl)phenyl chloride,98
gpt-4o-2024-11-20,06827be7-28e5-4aae-aeb5-69dbf37558e6,0,64,,0,5-Fluoro-4-(methylamino)-2-nitro-N-(propyl)-N-[2-(propan-2-yl)]benzamide,99
gpt-4o-2024-11-20,9cd93f7e-9f04-4498-adfa-229823de1b68,0,68,,0,"2-cyano-2-(4-chlorophenyl)-3-(trifluoromethyl)-3,3-dimethylpropanoic acid",101
gpt-4o-2024-11-20,0a37784c-8e16-403a-9663-60545ed273ca,0,68,,0,"N-(3-tert-butyl-2-ethynyl-4,6-dimethyl-5-oxo-1-(propionyl)-1,3-cyclohexadienyl)-2,2-dimethylpropanediamide",122
gpt-4o-2024-11-20,39eafd53-e681-49d4-bf0c-9e3b8ac720e5,0,66,,0,4-bromo-2-(cyclohexyl)-6-ethynyl-3-(trifluoromethyl)benzenesulfonamide,99
gpt-4o-2024-11-20,a66118d0-e85e-4332-9673-bfe8b69a8539,0,59,,0,"3-(5-Bromo-2-hydroxy-4-(methylamino)-6-oxo-6H-thieno[2,3-b]pyridin-3-yl)cyclohexanecarbaldehyde",109
gpt-4o-2024-11-20,e92c6e96-00e3-4097-b4dc-e3dfa9f9fe9b,0,65,,0,3-(5-Chloro-2-iodo-4-nitrophenyl)-2-methyl-2-(propylcarbamoyl)propanamide,101
gpt-4o-2024-11-20,5058d372-6a3d-45ab-9cf8-a315378b2fe2,0,66,,0,"2-(tert-Butyl)-N-[3-(dimethylamino)-2-(4-ethyl-2-thioxo-1,3-thiazol-5-yl)propyl]-2-oxoacetamide",113
gpt-4o-2024-11-20,3942474f-81a0-4431-bd1d-b0a1464288e9,0,57,,0,4-(2-Iodo-5-methoxy-4-(trifluoromethyl)thiophen-3-yl)-2-methylhex-1-yne,93
gpt-4o-2024-11-20,224973c6-f009-4099-8db7-3d647fd7050a,0,59,,0,4-(5-Amino-2-hydroxy-4-methyl-3-nitrophenyl)-2-methylpentanamide,88
gpt-4o-2024-11-20,77978ca3-5bf9-4e78-8f45-061c0ff5faaf,0,66,,0,"4-[(E)-3,7-Dimethyl-6-(dimethylamino)-5-oxohepta-2,4-dienyl]-2-methylbenzenesulfonamide",108
gpt-4o-2024-11-20,be0d64c0-2187-48be-845a-04608943f257,0,73,,0,2-[4-tert-Butyl-2-(trifluoromethyl)-5-[(methylcarbamoyl)oxo-methylsulfanyl]phenylsulfonyl]cyclohexylbenzene,122
