model,uuid,question_category,sub_category,ChemIQ,success,expected_answer,model_answer,opsin_smiles,completion_tokens,reasoning_tokens
o3-mini-low,cbfe1b13-aadb-40e4-838d-388c8878e3ee,counting_carbon,,True,True,3,3,False,461,448
o3-mini-low,aa5dfac0-35ed-40c5-a410-d06137f8ebc2,counting_carbon,,True,True,3,3,False,1102,1088
o3-mini-low,3bbd5b40-755a-4bc4-9939-7914e7f7a863,counting_carbon,,True,True,4,4,False,589,576
o3-mini-low,8dacd234-3f02-4a31-ba36-af6df1d37236,counting_carbon,,True,False,4,3,False,1677,1664
o3-mini-low,04542126-dd33-4178-9b5b-145d18d400c5,counting_carbon,,True,True,5,5,False,653,640
o3-mini-low,b4271510-114b-4df0-bf3e-8b1816fb1758,counting_carbon,,True,False,5,6,False,1677,1664
o3-mini-low,3b031554-f22a-4429-a3ec-fa8d87095af2,counting_carbon,,True,True,6,6,False,141,128
o3-mini-low,d82ac4af-cef7-4de5-a1fc-e74fc74c3bc2,counting_carbon,,True,True,6,6,False,973,960
o3-mini-low,d6fcb801-da1e-4bc9-9485-f995e48b24e2,counting_carbon,,True,True,7,7,False,781,768
o3-mini-low,857f2284-0d5f-4539-8efd-0c8a3427a14d,counting_carbon,,True,False,7,6,False,1165,1152
o3-mini-low,b3b89e21-7c6f-4a1a-a012-34848480bea6,counting_carbon,,True,True,8,8,False,1422,1408
o3-mini-low,99741479-b3ce-40dc-8d2e-4096d974c0e8,counting_carbon,,True,True,8,8,False,1294,1280
o3-mini-low,ebc0377e-13b3-4a4f-a554-128eeb44279e,counting_carbon,,True,True,9,9,False,909,896
o3-mini-low,475ff158-316f-415e-9fd2-91dfcb499a8d,counting_carbon,,True,True,9,9,False,1677,1664
o3-mini-low,6ec46160-523d-4d3b-aea8-3d5a858d949f,counting_carbon,,True,True,10,10,False,973,960
o3-mini-low,441ad391-8844-468d-9c6d-5191fdd8f986,counting_carbon,,True,False,10,9,False,909,896
o3-mini-low,0ba49457-5a65-46e6-bac7-977cfac5285f,counting_carbon,,True,False,11,10,False,3213,3200
o3-mini-low,ad5a008e-b19c-4824-b5b3-75f85b5c4288,counting_carbon,,True,False,11,10,False,1933,1920
o3-mini-low,84ecd115-8c46-41c3-b4ee-35e08dc84ffa,counting_carbon,,True,True,12,12,False,717,704
o3-mini-low,b8557eeb-1968-4110-8cf0-b6e3b2e0cac4,counting_carbon,,True,False,12,11,False,2061,2048
o3-mini-low,acad01ec-e4b7-4032-a3e1-eb3694e5fdfc,counting_carbon,,True,True,13,13,False,1485,1472
o3-mini-low,268dcf87-5fb5-4906-8f76-8a852e0ed75d,counting_carbon,,True,True,13,13,False,2317,2304
o3-mini-low,7d054445-67c8-4e03-ba1e-050903bd32c3,counting_carbon,,True,False,14,13,False,3918,3904
o3-mini-low,b7293502-845d-4f51-988d-b17468ec427d,counting_carbon,,True,True,14,14,False,1421,1408
