model,uuid,question_category,sub_category,ChemIQ,success,expected_answer,model_answer,opsin_smiles,completion_tokens,reasoning_tokens
o3-mini-medium,cbfe1b13-aadb-40e4-838d-388c8878e3ee,counting_carbon,,True,True,3,3,False,1037,1024
o3-mini-medium,aa5dfac0-35ed-40c5-a410-d06137f8ebc2,counting_carbon,,True,True,3,3,False,3085,3072
o3-mini-medium,3bbd5b40-755a-4bc4-9939-7914e7f7a863,counting_carbon,,True,True,4,4,False,1678,1664
o3-mini-medium,8dacd234-3f02-4a31-ba36-af6df1d37236,counting_carbon,,True,False,4,3,False,4301,4288
o3-mini-medium,04542126-dd33-4178-9b5b-145d18d400c5,counting_carbon,,True,True,5,5,False,1165,1152
o3-mini-medium,b4271510-114b-4df0-bf3e-8b1816fb1758,counting_carbon,,True,True,5,5,False,3535,3520
o3-mini-medium,3b031554-f22a-4429-a3ec-fa8d87095af2,counting_carbon,,True,True,6,6,False,3533,3520
o3-mini-medium,d82ac4af-cef7-4de5-a1fc-e74fc74c3bc2,counting_carbon,,True,True,6,6,False,3277,3264
o3-mini-medium,d6fcb801-da1e-4bc9-9485-f995e48b24e2,counting_carbon,,True,True,7,7,False,3021,3008
o3-mini-medium,857f2284-0d5f-4539-8efd-0c8a3427a14d,counting_carbon,,True,True,7,7,False,3725,3712
o3-mini-medium,b3b89e21-7c6f-4a1a-a012-34848480bea6,counting_carbon,,True,True,8,8,False,4621,4608
o3-mini-medium,99741479-b3ce-40dc-8d2e-4096d974c0e8,counting_carbon,,True,True,8,8,False,2509,2496
o3-mini-medium,ebc0377e-13b3-4a4f-a554-128eeb44279e,counting_carbon,,True,True,9,9,False,2765,2752
o3-mini-medium,475ff158-316f-415e-9fd2-91dfcb499a8d,counting_carbon,,True,True,9,9,False,4429,4416
o3-mini-medium,6ec46160-523d-4d3b-aea8-3d5a858d949f,counting_carbon,,True,True,10,10,False,2189,2176
o3-mini-medium,441ad391-8844-468d-9c6d-5191fdd8f986,counting_carbon,,True,True,10,10,False,1485,1472
o3-mini-medium,0ba49457-5a65-46e6-bac7-977cfac5285f,counting_carbon,,True,False,11,10,False,4877,4864
o3-mini-medium,ad5a008e-b19c-4824-b5b3-75f85b5c4288,counting_carbon,,True,False,11,10,False,6221,6208
o3-mini-medium,84ecd115-8c46-41c3-b4ee-35e08dc84ffa,counting_carbon,,True,True,12,12,False,2766,2752
o3-mini-medium,b8557eeb-1968-4110-8cf0-b6e3b2e0cac4,counting_carbon,,True,True,12,12,False,4685,4672
o3-mini-medium,acad01ec-e4b7-4032-a3e1-eb3694e5fdfc,counting_carbon,,True,True,13,13,False,3341,3328
o3-mini-medium,268dcf87-5fb5-4906-8f76-8a852e0ed75d,counting_carbon,,True,True,13,13,False,7439,7424
o3-mini-medium,7d054445-67c8-4e03-ba1e-050903bd32c3,counting_carbon,,True,False,14,12,False,12367,12352
o3-mini-medium,b7293502-845d-4f51-988d-b17468ec427d,counting_carbon,,True,True,14,14,False,9742,9728
o3-mini-medium,f0f4b402-f21c-4893-891f-eceab8211bb2,counting_carbon,,True,True,15,15,False,3214,3200
o3-mini-medium,76473fc1-53b7-4e5d-a6c1-590d12604e71,counting_carbon,,True,True,15,15,False,6605,6592
o3-mini-medium,fbe1dd94-50f0-4c9c-9ad3-933dabaea3db,counting_carbon,,True,True,16,16,False,4429,4416
o3-mini-medium,4e38eb74-c3e8-4c58-af45-46eec5f15112,counting_carbon,,True,False,16,15,False,5391,5376
o3-mini-medium,3c6435ce-c50d-4ce7-a60b-d21ccae3275c,counting_carbon,,True,False,17,16,False,3085,3072
o3-mini-medium,2e8d5767-0951-4d8d-b85a-a2edbd4707b6,counting_carbon,,True,True,17,17,False,4046,4032
o3-mini-medium,d3e441b0-9fe3-462c-bfc6-c76a1b5cc31f,counting_carbon,,True,True,18,18,False,2637,2624
o3-mini-medium,210531cb-d7a2-4d20-9397-4480f59692cd,counting_carbon,,True,True,18,18,False,5453,5440
o3-mini-medium,8be913dd-737b-4b5a-a31f-69be72da273b,counting_carbon,,True,True,19,19,False,2893,2880
o3-mini-medium,bb5cc5d9-b967-4225-89c8-1e7a620b6721,counting_carbon,,True,True,19,19,False,3981,3968
o3-mini-medium,b4c8fdbb-3d75-4e32-a068-9ba254d24fd8,counting_carbon,,True,False,20,19,False,5005,4992
o3-mini-medium,02fc1e4f-4714-4853-98db-f1b16a90289d,counting_carbon,,True,True,20,20,False,3086,3072
o3-mini-medium,196d962c-e816-4532-b6b0-98fbfa8a1da7,counting_carbon,,True,True,21,21,False,3790,3776
o3-mini-medium,85627a53-52f8-47ab-a8e8-bbb5fdef9b35,counting_carbon,,True,True,21,21,False,10189,10176
o3-mini-medium,f8d7990c-769d-43ab-9698-12a3f142edef,counting_carbon,,True,True,22,22,False,3598,3584
o3-mini-medium,cdcb32a9-ac2a-4513-a6d1-acfdf66f96a8,counting_carbon,,True,False,22,21,False,7821,7808
o3-mini-medium,65695546-735a-4039-9337-fb2cbdd4f016,counting_carbon,,True,False,23,22,False,12493,12480
o3-mini-medium,e99d09cf-3de9-4336-bbce-544eadcf7e08,counting_carbon,,True,True,23,23,False,2829,2816
o3-mini-medium,7c344a3e-0f6c-4b35-a1d4-3dd0dc377a6e,counting_carbon,,True,True,24,24,False,5325,5312
o3-mini-medium,30932029-a08e-4346-9dbc-ff3de16a7968,counting_carbon,,True,False,24,22,False,4493,4480
o3-mini-medium,40fea15b-d967-407f-a8d6-7670c257c021,counting_carbon,,True,True,25,25,False,4173,4160
o3-mini-medium,ed2c5927-3bf3-4ed5-aa46-8e8d7dff2dd9,counting_carbon,,True,True,25,25,False,3277,3264
o3-mini-medium,40bc56b9-cd25-4486-a67e-269cc36fe5c1,counting_carbon,,True,True,26,26,False,3407,3392
o3-mini-medium,2e0b97fa-89e2-4d89-b7e9-cecf098a3667,counting_carbon,,True,True,26,26,False,6093,6080
o3-mini-medium,dc0bcaec-8999-4d31-8aa3-e90134368600,counting_carbon,,True,True,27,27,False,6605,6592
o3-mini-medium,937cd3db-0c99-4277-8a08-34bd8540571b,counting_carbon,,True,True,27,27,False,3597,3584
o3-mini-medium,3a559549-01fb-4593-92f4-e97cc87a2b1c,counting_ring,,True,True,1,1,False,525,512
o3-mini-medium,8bcdc9ed-a72f-453d-9ad6-3f7167fcca3d,counting_ring,,True,True,1,1,False,525,512
o3-mini-medium,ab6b902e-3a48-42ab-b328-a3427cd8734d,counting_ring,,True,True,1,1,False,397,384
o3-mini-medium,08bc4deb-9b9d-4fec-a95c-f894c168db36,counting_ring,,True,True,1,1,False,269,256
o3-mini-medium,ca4c52b5-3771-4daf-8230-97184aa7e9b0,counting_ring,,True,True,1,1,False,589,576
o3-mini-medium,e2615e3e-52fb-4646-8bd0-feecda381a2e,counting_ring,,True,True,1,1,False,525,512
o3-mini-medium,2438e38c-a074-4916-bec6-22970d759c17,counting_ring,,True,True,1,1,False,589,576
o3-mini-medium,78d48efb-3943-4685-bbce-e6569fb818f8,counting_ring,,True,True,1,1,False,461,448
o3-mini-medium,c77a9e01-14fa-411d-844f-aff9904892be,counting_ring,,True,True,2,2,False,2061,2048
o3-mini-medium,660299c3-49e8-4526-bc2f-229128f3a728,counting_ring,,True,True,2,2,False,1037,1024
o3-mini-medium,2e894827-709d-4621-aa93-d57b44f5a0f3,counting_ring,,True,True,2,2,False,4877,4864
o3-mini-medium,5929b457-6388-4b4b-a060-359df6f0971d,counting_ring,,True,True,2,2,False,717,704
o3-mini-medium,e47fed1a-c789-4887-a0bd-0db0c8eb70f6,counting_ring,,True,True,2,2,False,525,512
o3-mini-medium,d2b5cd34-d177-4186-b266-a7118797755a,counting_ring,,True,True,2,2,False,3405,3392
o3-mini-medium,da855680-70f9-49b3-8fe2-a012f6981636,counting_ring,,True,True,2,2,False,1806,1792
o3-mini-medium,d9e6418d-239f-4647-9fc3-b1cd35a23ff6,counting_ring,,True,True,2,2,False,910,896
o3-mini-medium,074a47ae-31d9-4aa8-9c53-71d258b71182,counting_ring,,True,True,3,3,False,781,768
o3-mini-medium,2090df2a-bdbc-4bb5-a9d0-72edd2cfdbd0,counting_ring,,True,True,3,3,False,1933,1920
o3-mini-medium,1052eeec-7a3a-4755-a613-e1e2e22d4ca5,counting_ring,,True,True,3,3,False,3213,3200
o3-mini-medium,5d20368d-5637-4fa9-a451-9e662794bc5d,counting_ring,,True,True,3,3,False,4431,4416
o3-mini-medium,b04ab5e4-64bb-4ecf-9afe-16f816382d20,counting_ring,,True,True,3,3,False,3661,3648
o3-mini-medium,af01c7fa-17f5-4a4e-a6cb-80342c4b4514,counting_ring,,True,True,3,3,False,1549,1536
