model,uuid,question_category,sub_category,ChemIQ,success,expected_answer,model_answer,opsin_smiles,completion_tokens,reasoning_tokens
gpt-4o,cbfe1b13-aadb-40e4-838d-388c8878e3ee,counting_carbon,,True,False,3,9,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,aa5dfac0-35ed-40c5-a410-d06137f8ebc2,counting_carbon,,True,False,3,7,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,3bbd5b40-755a-4bc4-9939-7914e7f7a863,counting_carbon,,True,False,4,7,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,8dacd234-3f02-4a31-ba36-af6df1d37236,counting_carbon,,True,False,4,9,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,04542126-dd33-4178-9b5b-145d18d400c5,counting_carbon,,True,False,5,8,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,b4271510-114b-4df0-bf3e-8b1816fb1758,counting_carbon,,True,False,5,11,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,3b031554-f22a-4429-a3ec-fa8d87095af2,counting_carbon,,True,False,6,9,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,d82ac4af-cef7-4de5-a1fc-e74fc74c3bc2,counting_carbon,,True,False,6,10,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,d6fcb801-da1e-4bc9-9485-f995e48b24e2,counting_carbon,,True,False,7,14,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,857f2284-0d5f-4539-8efd-0c8a3427a14d,counting_carbon,,True,False,7,9,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,b3b89e21-7c6f-4a1a-a012-34848480bea6,counting_carbon,,True,False,8,16,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,99741479-b3ce-40dc-8d2e-4096d974c0e8,counting_carbon,,True,False,8,12,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,ebc0377e-13b3-4a4f-a554-128eeb44279e,counting_carbon,,True,False,9,11,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,475ff158-316f-415e-9fd2-91dfcb499a8d,counting_carbon,,True,False,9,12,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,6ec46160-523d-4d3b-aea8-3d5a858d949f,counting_carbon,,True,False,10,13,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,441ad391-8844-468d-9c6d-5191fdd8f986,counting_carbon,,True,False,10,12,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,0ba49457-5a65-46e6-bac7-977cfac5285f,counting_carbon,,True,False,11,21,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,ad5a008e-b19c-4824-b5b3-75f85b5c4288,counting_carbon,,True,False,11,15,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,84ecd115-8c46-41c3-b4ee-35e08dc84ffa,counting_carbon,,True,False,12,21,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,b8557eeb-1968-4110-8cf0-b6e3b2e0cac4,counting_carbon,,True,False,12,17,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,acad01ec-e4b7-4032-a3e1-eb3694e5fdfc,counting_carbon,,True,False,13,17,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,268dcf87-5fb5-4906-8f76-8a852e0ed75d,counting_carbon,,True,False,13,15,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,7d054445-67c8-4e03-ba1e-050903bd32c3,counting_carbon,,True,False,14,15,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,b7293502-845d-4f51-988d-b17468ec427d,counting_carbon,,True,False,14,21,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,f0f4b402-f21c-4893-891f-eceab8211bb2,counting_carbon,,True,False,15,17,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,76473fc1-53b7-4e5d-a6c1-590d12604e71,counting_carbon,,True,False,15,16,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
gpt-4o,fbe1dd94-50f0-4c9c-9ad3-933dabaea3db,counting_carbon,,True,False,16,17,BrC1=C2C=CC=NC2=CC(=C1Cl)F,2,0
